Subject,Block,CategoryNumber,ITI,Trial,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,Prime,cond_TrueFalse,TF,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi_cen,Fam_tipi,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
11,3,4,2500,64,1,1,1,1319,6.375,3.620689655,Canary,Birds,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.375,0.77555092,-0.357097825,3.62,-0.37183424,1.857332496,0.194720021,3.19,0.593577325,6.069,66,17,14,0.84,female
11,2,3,2500,1,2,1,2,1332,6.958333333,6.551724138,Pants,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,6.958333333,1.206470818,2.175860848,6.55,0.997433169,3.226599905,-1.237794697,1.74,2.06932951,6.75,66,17,14,0.84,female
11,2,2,2500,2,1,1,1,1479,4.083333333,5.172413793,Scissors,Kitchent Utensil,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,4.083333333,-0.917348678,0.982863248,5.17,0.140049121,2.369215857,-0.378285867,2.61,0.883960281,6.203,66,17,14,0.84,female
11,2,1,2500,3,2,1,2,1619,4.75,3.344827586,Otter,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,4.75,-0.424868795,-0.599155309,3.34,-0.766768738,1.462397998,1.083867087,4.09,0.333532887,5.949,66,17,14,0.84,female
11,2,4,2000,5,1,1,1,2499,6.565217391,2.551724138,Bazooka,Weapon,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.565217391,0.916068278,-1.282103211,2.55,-0.496772976,1.73239376,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,2,3,1500,6,2,1,2,1323,5.333333333,6.172413793,Pajama,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,5.333333333,0.006051103,1.847354263,6.17,0.314901308,2.544068044,-0.892015283,2.09,-0.037030437,5.778,66,17,14,0.84,female
11,2,2,2000,7,1,1,1,1766,6.875,5.344827586,Pot,Kitchent Utensil,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,6.875,1.144910833,1.12982672,5.34,-0.605917446,1.62324929,-0.319009395,2.67,0.190508446,5.883,66,17,14,0.84,female
11,2,2,2000,8,2,1,2,1049,7,5.482758621,Orange,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,7,1.237250811,1.250855463,5.48,0.566017854,2.79518459,-1.148879991,1.83,1.26535879,6.379,66,17,14,0.84,female
11,2,3,3000,9,1,1,1,1191,6.833333333,5.344827586,Frying pan,Kitchent Utensil,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,6.833333333,1.11413084,1.12982672,5.34,-0.157284729,2.071882007,0.24411708,3.24,-0.706644865,5.469,66,17,14,0.84,female
11,2,1,2000,10,2,1,2,1854,6.541666667,3.586206897,Gorilla,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,6.541666667,0.898670891,-0.383032555,3.59,0.101247037,2.330413773,-0.279491748,2.71,-0.693642643,5.475,66,17,14,0.84,female
11,2,4,2500,11,2,1,2,1846,6.708333333,4.655172414,Truck,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,6.708333333,1.021790862,0.54197283,4.66,0.652217921,2.881384657,-0.803100576,2.18,-0.743484493,5.452,66,17,14,0.84,female
11,2,4,1500,12,1,1,1,1217,6.791666667,6.344827586,Fork,Kitchent Utensil,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.791666667,1.083350848,1.994317735,6.34,0.078329302,2.307496038,-1.020447637,1.96,-1.972194463,4.885,66,17,14,0.84,female
11,2,2,3000,13,2,1,2,971,6.916666667,5.586206897,Banana,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.916666667,1.175690826,1.345949474,5.59,0.41428594,2.643452676,-1.148879991,1.83,1.252356568,6.373,66,17,14,0.84,female
